id_nb,name,type_1,type_2,link,data_species,data_height,data_weight,data_abilities,training_catch_rate,training_base_exp,training_growth_rate, breeding_gender, breeding_gender,stats_hp,stats_attack,stats_defense, stats_sp_atk,stats_sp_def,    stats_speed,stats_total
#0020,Raticate,Normal,Nan,/pokedex/raticate,Mouse Pokémon,0.7,18.5,Run Away,127,145,Medium Fast,50% male, 50% female,55,81,60,50,70,97,413
#0021,Spearow,Normal,Flying,/pokedex/spearow,Tiny Bird Pokémon,0.3,2,Keen Eye,255,52,Medium Fast,50% male, 50% female,40,60,30,31,31,70,262
#0022,Fearow,Normal,Flying,/pokedex/fearow,Beak Pokémon,1.2,38,Keen Eye,90,155,Medium Fast,50% male, 50% female,65,90,65,61,61,100,442
#0023,Ekans,Poison,Nan,/pokedex/ekans,Snake Pokémon,2,6.9,Intimidate,255,58,Medium Fast,50% male, 50% female,35,60,44,40,54,55,288
#0024,Arbok,Poison,Nan,/pokedex/arbok,Cobra Pokémon,3.5,65,Intimidate,90,157,Medium Fast,50% male, 50% female,60,95,69,65,79,80,448
#0025,Pikachu,Electric,Nan,/pokedex/pikachu,Mouse Pokémon,0.4,6,Static,190,112,Medium Fast,50% male, 50% female,35,55,40,50,50,90,320
#0026,Raichu,Electric,Nan,/pokedex/raichu,Mouse Pokémon,0.8,30,Static,75,243,Medium Fast,50% male, 50% female,60,90,55,90,80,110,485
#0027,Sandshrew,Ground,Nan,/pokedex/sandshrew,Mouse Pokémon,0.6,12,Sand Veil,255,60,Medium Fast,50% male, 50% female,50,75,85,20,30,40,300
#0028,Sandslash,Ground,Nan,/pokedex/sandslash,Mouse Pokémon,1,29.5,Sand Veil,90,158,Medium Fast,50% male, 50% female,75,100,110,45,55,65,450
#0029,Nidoran♀,Poison,Nan,/pokedex/nidoran-f,Poison Pin Pokémon,0.4,7,Poison Point,235,55,Medium Slow,0% male, 100% female,55,47,52,40,40,41,275
#0030,Nidorina,Poison,Nan,/pokedex/nidorina,Poison Pin Pokémon,0.8,20,Poison Point,120,128,Medium Slow,0% male, 100% female,70,62,67,55,55,56,365
#0031,Nidoqueen,Poison,Ground,/pokedex/nidoqueen,Drill Pokémon,1.3,60,Poison Point,45,227,Medium Slow,0% male, 100% female,90,92,87,75,85,76,505
#0032,Nidoran♂,Poison,Nan,/pokedex/nidoran-m,Poison Pin Pokémon,0.5,9,Poison Point,235,55,Medium Slow,100% male, 0% female,46,57,40,40,40,50,273
#0033,Nidorino,Poison,Nan,/pokedex/nidorino,Poison Pin Pokémon,0.9,19.5,Poison Point,120,128,Medium Slow,100% male, 0% female,61,72,57,55,55,65,365
#0034,Nidoking,Poison,Ground,/pokedex/nidoking,Drill Pokémon,1.4,62,Poison Point,45,227,Medium Slow,100% male, 0% female,81,102,77,85,75,85,505
#0035,Clefairy,Fairy,Nan,/pokedex/clefairy,Fairy Pokémon,0.6,7.5,Cute Charm,150,113,Fast,25% male, 75% female,70,45,48,60,65,35,323
#0036,Clefable,Fairy,Nan,/pokedex/clefable,Fairy Pokémon,1.3,40,Cute Charm,25,217,Fast,25% male, 75% female,95,70,73,95,90,60,483
#0037,Vulpix,Fire,Nan,/pokedex/vulpix,Fox Pokémon,0.6,9.9,Flash Fire,190,60,Medium Fast,25% male, 75% female,38,41,40,50,65,65,299
#0038,Ninetales,Fire,Nan,/pokedex/ninetales,Fox Pokémon,1.1,19.9,Flash Fire,75,177,Medium Fast,25% male, 75% female,73,76,75,81,100,100,505
#0039,Jigglypuff,Normal,Fairy,/pokedex/jigglypuff,Balloon Pokémon,0.5,5.5,Cute Charm,170,95,Fast,25% male, 75% female,115,45,20,45,25,20,270
#0040,Wigglytuff,Normal,Fairy,/pokedex/wigglytuff,Balloon Pokémon,1,12,Cute Charm,50,218,Fast,25% male, 75% female,140,70,45,85,50,45,435
#0041,Zubat,Poison,Flying,/pokedex/zubat,Bat Pokémon,0.8,7.5,Inner Focus,255,49,Medium Fast,50% male, 50% female,40,45,35,30,40,55,245
#0042,Golbat,Poison,Flying,/pokedex/golbat,Bat Pokémon,1.6,55,Inner Focus,90,159,Medium Fast,50% male, 50% female,75,80,70,65,75,90,455
#0043,Oddish,Grass,Poison,/pokedex/oddish,Weed Pokémon,0.5,5.4,Chlorophyll,255,64,Medium Slow,50% male, 50% female,45,50,55,75,65,30,320
#0044,Gloom,Grass,Poison,/pokedex/gloom,Weed Pokémon,0.8,8.6,Chlorophyll,120,138,Medium Slow,50% male, 50% female,60,65,70,85,75,40,395
#0045,Vileplume,Grass,Poison,/pokedex/vileplume,Flower Pokémon,1.2,18.6,Chlorophyll,45,221,Medium Slow,50% male, 50% female,75,80,85,110,90,50,490
#0046,Paras,Bug,Grass,/pokedex/paras,Mushroom Pokémon,0.3,5.4,Effect Spore,190,57,Medium Fast,50% male, 50% female,35,70,55,45,55,25,285
#0047,Parasect,Bug,Grass,/pokedex/parasect,Mushroom Pokémon,1,29.5,Effect Spore,75,142,Medium Fast,50% male, 50% female,60,95,80,60,80,30,405
#0048,Venonat,Bug,Poison,/pokedex/venonat,Insect Pokémon,1,30,Compound Eyes,190,61,Medium Fast,50% male, 50% female,60,55,50,40,55,45,305
#0049,Venomoth,Bug,Poison,/pokedex/venomoth,Poison Moth Pokémon,1.5,12.5,Shield Dust,75,158,Medium Fast,50% male, 50% female,70,65,60,90,75,90,450
#0050,Diglett,Ground,Nan,/pokedex/diglett,Mole Pokémon,0.2,0.8,Sand Veil,255,53,Medium Fast,50% male, 50% female,10,55,25,35,45,95,265
#0051,Dugtrio,Ground,Nan,/pokedex/dugtrio,Mole Pokémon,0.7,33.3,Sand Veil,50,149,Medium Fast,50% male, 50% female,35,100,50,50,70,120,425
#0052,Meowth,Normal,Nan,/pokedex/meowth,Scratch Cat Pokémon,0.4,4.2,Pickup,255,58,Medium Fast,50% male, 50% female,40,45,35,40,40,90,290
#0053,Persian,Normal,Nan,/pokedex/persian,Classy Cat Pokémon,1,32,Limber,90,154,Medium Fast,50% male, 50% female,65,70,60,65,65,115,440
#0054,Psyduck,Water,Nan,/pokedex/psyduck,Duck Pokémon,0.8,19.6,Damp,190,64,Medium Fast,50% male, 50% female,50,52,48,65,50,55,320
#0055,Golduck,Water,Nan,/pokedex/golduck,Duck Pokémon,1.7,76.6,Damp,75,175,Medium Fast,50% male, 50% female,80,82,78,95,80,85,500
#0056,Mankey,Fighting,Nan,/pokedex/mankey,Pig Monkey Pokémon,0.5,28,Vital Spirit,190,61,Medium Fast,50% male, 50% female,40,80,35,35,45,70,305
#0057,Primeape,Fighting,Nan,/pokedex/primeape,Pig Monkey Pokémon,1,32,Vital Spirit,75,159,Medium Fast,50% male, 50% female,65,105,60,60,70,95,455
#0058,Growlithe,Fire,Nan,/pokedex/growlithe,Puppy Pokémon,0.7,19,Intimidate,190,70,Slow,75% male, 25% female,55,70,45,70,50,60,350
#0059,Arcanine,Fire,Nan,/pokedex/arcanine,Legendary Pokémon,1.9,155,Intimidate,75,194,Slow,75% male, 25% female,90,110,80,100,80,95,555
#0060,Poliwag,Water,Nan,/pokedex/poliwag,Tadpole Pokémon,0.6,12.4,Water Absorb,255,60,Medium Slow,50% male, 50% female,40,50,40,40,40,90,300
#0061,Poliwhirl,Water,Nan,/pokedex/poliwhirl,Tadpole Pokémon,1,20,Water Absorb,120,135,Medium Slow,50% male, 50% female,65,65,65,50,50,90,385
#0062,Poliwrath,Water,Fighting,/pokedex/poliwrath,Tadpole Pokémon,1.3,54,Water Absorb,45,230,Medium Slow,50% male, 50% female,90,95,95,70,90,70,510
#0063,Abra,Psychic,Nan,/pokedex/abra,Psi Pokémon,0.9,19.5,Synchronize,200,62,Medium Slow,75% male, 25% female,25,20,15,105,55,90,310
#0064,Kadabra,Psychic,Nan,/pokedex/kadabra,Psi Pokémon,1.3,56.5,Synchronize,100,140,Medium Slow,75% male, 25% female,40,35,30,120,70,105,400
#0065,Alakazam,Psychic,Nan,/pokedex/alakazam,Psi Pokémon,1.5,48,Synchronize,50,225,Medium Slow,75% male, 25% female,55,50,45,135,95,120,500
#0066,Machop,Fighting,Nan,/pokedex/machop,Superpower Pokémon,0.8,19.5,Guts,180,61,Medium Slow,75% male, 25% female,70,80,50,35,35,35,305
#0067,Machoke,Fighting,Nan,/pokedex/machoke,Superpower Pokémon,1.5,70.5,Guts,90,142,Medium Slow,75% male, 25% female,80,100,70,50,60,45,405
#0068,Machamp,Fighting,Nan,/pokedex/machamp,Superpower Pokémon,1.6,130,Guts,45,227,Medium Slow,75% male, 25% female,90,130,80,65,85,55,505
#0069,Bellsprout,Grass,Poison,/pokedex/bellsprout,Flower Pokémon,0.7,4,Chlorophyll,255,60,Medium Slow,50% male, 50% female,50,75,35,70,30,40,300
#0070,Weepinbell,Grass,Poison,/pokedex/weepinbell,Flycatcher Pokémon,1,6.4,Chlorophyll,120,137,Medium Slow,50% male, 50% female,65,90,50,85,45,55,390
#0071,Victreebel,Grass,Poison,/pokedex/victreebel,Flycatcher Pokémon,1.7,15.5,Chlorophyll,45,221,Medium Slow,50% male, 50% female,80,105,65,100,70,70,490
#0072,Tentacool,Water,Poison,/pokedex/tentacool,Jellyfish Pokémon,0.9,45.5,Clear Body,190,67,Slow,50% male, 50% female,40,40,35,50,100,70,335
#0073,Tentacruel,Water,Poison,/pokedex/tentacruel,Jellyfish Pokémon,1.6,55,Clear Body,60,180,Slow,50% male, 50% female,80,70,65,80,120,100,515
#0074,Geodude,Rock,Ground,/pokedex/geodude,Rock Pokémon,0.4,20,Rock Head,255,60,Medium Slow,50% male, 50% female,40,80,100,30,30,20,300
#0075,Graveler,Rock,Ground,/pokedex/graveler,Rock Pokémon,1,105,Rock Head,120,137,Medium Slow,50% male, 50% female,55,95,115,45,45,35,390
#0076,Golem,Rock,Ground,/pokedex/golem,Megaton Pokémon,1.4,300,Rock Head,45,223,Medium Slow,50% male, 50% female,80,120,130,55,65,45,495
#0077,Ponyta,Fire,Nan,/pokedex/ponyta,Fire Horse Pokémon,1,30,Run Away,190,82,Medium Fast,50% male, 50% female,50,85,55,65,65,90,410
#0078,Rapidash,Fire,Nan,/pokedex/rapidash,Fire Horse Pokémon,1.7,95,Run Away,60,175,Medium Fast,50% male, 50% female,65,100,70,80,80,105,500
#0079,Slowpoke,Water,Psychic,/pokedex/slowpoke,Dopey Pokémon,1.2,36,Oblivious,190,63,Medium Fast,50% male, 50% female,90,65,65,40,40,15,315
#0080,Slowbro,Water,Psychic,/pokedex/slowbro,Hermit Crab Pokémon,1.6,78.5,Oblivious,75,172,Medium Fast,50% male, 50% female,95,75,110,100,80,30,490
#0081,Magnemite,Electric,Steel,/pokedex/magnemite,Magnet Pokémon,0.3,6,Magnet Pull,190,65,Medium Fast,Genderless,25,35,70,95,55,45,325,
#0082,Magneton,Electric,Steel,/pokedex/magneton,Magnet Pokémon,1,60,Magnet Pull,60,163,Medium Fast,Genderless,50,60,95,120,70,70,465,
#0083,Farfetch'd,Normal,Flying,/pokedex/farfetchd,Wild Duck Pokémon,0.8,15,Keen Eye,45,132,Medium Fast,50% male, 50% female,52,90,55,58,62,60,377
#0084,Doduo,Normal,Flying,/pokedex/doduo,Twin Bird Pokémon,1.4,39.2,Run Away,190,62,Medium Fast,50% male, 50% female,35,85,45,35,35,75,310
#0085,Dodrio,Normal,Flying,/pokedex/dodrio,Triple Bird Pokémon,1.8,85.2,Run Away,45,165,Medium Fast,50% male, 50% female,60,110,70,60,60,110,470
#0086,Seel,Water,Nan,/pokedex/seel,Sea Lion Pokémon,1.1,90,Thick Fat,190,65,Medium Fast,50% male, 50% female,65,45,55,45,70,45,325
#0087,Dewgong,Water,Ice,/pokedex/dewgong,Sea Lion Pokémon,1.7,120,Thick Fat,75,166,Medium Fast,50% male, 50% female,90,70,80,70,95,70,475
#0088,Grimer,Poison,Nan,/pokedex/grimer,Sludge Pokémon,0.9,30,Stench,190,65,Medium Fast,50% male, 50% female,80,80,50,40,50,25,325
#0089,Muk,Poison,Nan,/pokedex/muk,Sludge Pokémon,1.2,30,Stench,75,175,Medium Fast,50% male, 50% female,105,105,75,65,100,50,500
#0090,Shellder,Water,Nan,/pokedex/shellder,Bivalve Pokémon,0.3,4,Shell Armor,190,61,Slow,50% male, 50% female,30,65,100,45,25,40,305
#0091,Cloyster,Water,Ice,/pokedex/cloyster,Bivalve Pokémon,1.5,132.5,Shell Armor,60,184,Slow,50% male, 50% female,50,95,180,85,45,70,525
#0092,Gastly,Ghost,Poison,/pokedex/gastly,Gas Pokémon,1.3,0.1,Levitate,190,62,Medium Slow,50% male, 50% female,30,35,30,100,35,80,310
#0093,Haunter,Ghost,Poison,/pokedex/haunter,Gas Pokémon,1.6,0.1,Levitate,90,142,Medium Slow,50% male, 50% female,45,50,45,115,55,95,405
#0094,Gengar,Ghost,Poison,/pokedex/gengar,Shadow Pokémon,1.5,40.5,Cursed Body,45,250,Medium Slow,50% male, 50% female,60,65,60,130,75,110,500
#0095,Onix,Rock,Ground,/pokedex/onix,Rock Snake Pokémon,8.8,210,Rock Head,45,77,Medium Fast,50% male, 50% female,35,45,160,30,45,70,385
#0096,Drowzee,Psychic,Nan,/pokedex/drowzee,Hypnosis Pokémon,1,32.4,Insomnia,190,66,Medium Fast,50% male, 50% female,60,48,45,43,90,42,328
#0097,Hypno,Psychic,Nan,/pokedex/hypno,Hypnosis Pokémon,1.6,75.6,Insomnia,75,169,Medium Fast,50% male, 50% female,85,73,70,73,115,67,483
#0098,Krabby,Water,Nan,/pokedex/krabby,River Crab Pokémon,0.4,6.5,Hyper Cutter,225,65,Medium Fast,50% male, 50% female,30,105,90,25,25,50,325
#0099,Kingler,Water,Nan,/pokedex/kingler,Pincer Pokémon,1.3,60,Hyper Cutter,60,166,Medium Fast,50% male, 50% female,55,130,115,50,50,75,475
#0100,Voltorb,Electric,Nan,/pokedex/voltorb,Ball Pokémon,0.5,10.4,Soundproof,190,66,Medium Fast,Genderless,40,30,50,55,55,100,330,
#0101,Electrode,Electric,Nan,/pokedex/electrode,Ball Pokémon,1.2,66.6,Soundproof,60,172,Medium Fast,Genderless,60,50,70,80,80,150,490,
#0102,Exeggcute,Grass,Psychic,/pokedex/exeggcute,Egg Pokémon,0.4,2.5,Chlorophyll,90,65,Slow,50% male, 50% female,60,40,80,60,45,40,325
#0103,Exeggutor,Grass,Psychic,/pokedex/exeggutor,Coconut Pokémon,2,120,Chlorophyll,45,186,Slow,50% male, 50% female,95,95,85,125,75,55,530
#0104,Cubone,Ground,Nan,/pokedex/cubone,Lonely Pokémon,0.4,6.5,Rock Head,190,64,Medium Fast,50% male, 50% female,50,50,95,40,50,35,320
#0105,Marowak,Ground,Nan,/pokedex/marowak,Bone Keeper Pokémon,1,45,Rock Head,75,149,Medium Fast,50% male, 50% female,60,80,110,50,80,45,425
#0106,Hitmonlee,Fighting,Nan,/pokedex/hitmonlee,Kicking Pokémon,1.5,49.8,Limber,45,159,Medium Fast,100% male, 0% female,50,120,53,35,110,87,455
#0107,Hitmonchan,Fighting,Nan,/pokedex/hitmonchan,Punching Pokémon,1.4,50.2,Keen Eye,45,159,Medium Fast,100% male, 0% female,50,105,79,35,110,76,455
#0108,Lickitung,Normal,Nan,/pokedex/lickitung,Licking Pokémon,1.2,65.5,Own Tempo,45,77,Medium Fast,50% male, 50% female,90,55,75,60,75,30,385
#0109,Koffing,Poison,Nan,/pokedex/koffing,Poison Gas Pokémon,0.6,1,Levitate,190,68,Medium Fast,50% male, 50% female,40,65,95,60,45,35,340
#0110,Weezing,Poison,Nan,/pokedex/weezing,Poison Gas Pokémon,1.2,9.5,Levitate,60,172,Medium Fast,50% male, 50% female,65,90,120,85,70,60,490
#0111,Rhyhorn,Ground,Rock,/pokedex/rhyhorn,Spikes Pokémon,1,115,Lightning Rod,120,69,Slow,50% male, 50% female,80,85,95,30,30,25,345
#0112,Rhydon,Ground,Rock,/pokedex/rhydon,Drill Pokémon,1.9,120,Lightning Rod,60,170,Slow,50% male, 50% female,105,130,120,45,45,40,485
#0113,Chansey,Normal,Nan,/pokedex/chansey,Egg Pokémon,1.1,34.6,Natural Cure,30,395,Fast,0% male, 100% female,250,5,5,35,105,50,450
#0114,Tangela,Grass,Nan,/pokedex/tangela,Vine Pokémon,1,35,Chlorophyll,45,87,Medium Fast,50% male, 50% female,65,55,115,100,40,60,435
#0115,Kangaskhan,Normal,Nan,/pokedex/kangaskhan,Parent Pokémon,2.2,80,Early Bird,45,172,Medium Fast,0% male, 100% female,105,95,80,40,80,90,490
#0116,Horsea,Water,Nan,/pokedex/horsea,Dragon Pokémon,0.4,8,Swift Swim,225,59,Medium Fast,50% male, 50% female,30,40,70,70,25,60,295
#0117,Seadra,Water,Nan,/pokedex/seadra,Dragon Pokémon,1.2,25,Poison Point,75,154,Medium Fast,50% male, 50% female,55,65,95,95,45,85,440
#0118,Goldeen,Water,Nan,/pokedex/goldeen,Goldfish Pokémon,0.6,15,Swift Swim,225,64,Medium Fast,50% male, 50% female,45,67,60,35,50,63,320
#0119,Seaking,Water,Nan,/pokedex/seaking,Goldfish Pokémon,1.3,39,Swift Swim,60,158,Medium Fast,50% male, 50% female,80,92,65,65,80,68,450
#0120,Staryu,Water,Nan,/pokedex/staryu,Star Shape Pokémon,0.8,34.5,Illuminate,225,68,Slow,Genderless,30,45,55,70,55,85,340,
#0121,Starmie,Water,Psychic,/pokedex/starmie,Mysterious Pokémon,1.1,80,Illuminate,60,182,Slow,Genderless,60,75,85,100,85,115,520,
#0122,Mr. Mime,Psychic,Fairy,/pokedex/mr-mime,Barrier Pokémon,1.3,54.5,Soundproof,45,161,Medium Fast,50% male, 50% female,40,45,65,100,120,90,460
#0123,Scyther,Bug,Flying,/pokedex/scyther,Mantis Pokémon,1.5,56,Swarm,45,100,Medium Fast,50% male, 50% female,70,110,80,55,80,105,500
#0124,Jynx,Ice,Psychic,/pokedex/jynx,Human Shape Pokémon,1.4,40.6,Oblivious,45,159,Medium Fast,0% male, 100% female,65,50,35,115,95,95,455
#0125,Electabuzz,Electric,Nan,/pokedex/electabuzz,Electric Pokémon,1.1,30,Static,45,172,Medium Fast,75% male, 25% female,65,83,57,95,85,105,490
#0126,Magmar,Fire,Nan,/pokedex/magmar,Spitfire Pokémon,1.3,44.5,Flame Body,45,173,Medium Fast,75% male, 25% female,65,95,57,100,85,93,495
#0127,Pinsir,Bug,Nan,/pokedex/pinsir,Stag Beetle Pokémon,1.5,55,Hyper Cutter,45,175,Slow,50% male, 50% female,65,125,100,55,70,85,500
#0128,Tauros,Normal,Nan,/pokedex/tauros,Wild Bull Pokémon,1.4,88.4,Intimidate,45,172,Slow,100% male, 0% female,75,100,95,40,70,110,490
#0129,Magikarp,Water,Nan,/pokedex/magikarp,Fish Pokémon,0.9,10,Swift Swim,255,40,Slow,50% male, 50% female,20,10,55,15,20,80,200
#0130,Gyarados,Water,Flying,/pokedex/gyarados,Atrocious Pokémon,6.5,235,Intimidate,45,189,Slow,50% male, 50% female,95,125,79,60,100,81,540
#0131,Lapras,Water,Ice,/pokedex/lapras,Transport Pokémon,2.5,220,Water Absorb,45,187,Slow,50% male, 50% female,130,85,80,85,95,60,535
#0132,Ditto,Normal,Nan,/pokedex/ditto,Transform Pokémon,0.3,4,Limber,35,101,Medium Fast,Genderless,48,48,48,48,48,48,288,
#0133,Eevee,Normal,Nan,/pokedex/eevee,Evolution Pokémon,0.3,6.5,Run Away,45,65,Medium Fast,87.5% male, 12.5% female,55,55,50,45,65,55,325
#0134,Vaporeon,Water,Nan,/pokedex/vaporeon,Bubble Jet Pokémon,1,29,Water Absorb,45,184,Medium Fast,87.5% male, 12.5% female,130,65,60,110,95,65,525
#0135,Jolteon,Electric,Nan,/pokedex/jolteon,Lightning Pokémon,0.8,24.5,Volt Absorb,45,184,Medium Fast,87.5% male, 12.5% female,65,65,60,110,95,130,525
#0136,Flareon,Fire,Nan,/pokedex/flareon,Flame Pokémon,0.9,25,Flash Fire,45,184,Medium Fast,87.5% male, 12.5% female,65,130,60,95,110,65,525
#0137,Porygon,Normal,Nan,/pokedex/porygon,Virtual Pokémon,0.8,36.5,Trace,45,79,Medium Fast,Genderless,65,60,70,85,75,40,395,
#0138,Omanyte,Rock,Water,/pokedex/omanyte,Spiral Pokémon,0.4,7.5,Swift Swim,45,71,Medium Fast,87.5% male, 12.5% female,35,40,100,90,55,35,355
#0139,Omastar,Rock,Water,/pokedex/omastar,Spiral Pokémon,1,35,Swift Swim,45,173,Medium Fast,87.5% male, 12.5% female,70,60,125,115,70,55,495
#0140,Kabuto,Rock,Water,/pokedex/kabuto,Shellfish Pokémon,0.5,11.5,Swift Swim,45,71,Medium Fast,87.5% male, 12.5% female,30,80,90,55,45,55,355
#0141,Kabutops,Rock,Water,/pokedex/kabutops,Shellfish Pokémon,1.3,40.5,Swift Swim,45,173,Medium Fast,87.5% male, 12.5% female,60,115,105,65,70,80,495
#0142,Aerodactyl,Rock,Flying,/pokedex/aerodactyl,Fossil Pokémon,1.8,59,Rock Head,45,180,Slow,87.5% male, 12.5% female,80,105,65,60,75,130,515
#0143,Snorlax,Normal,Nan,/pokedex/snorlax,Sleeping Pokémon,2.1,460,Immunity,25,189,Slow,87.5% male, 12.5% female,160,110,65,65,110,30,540
#0144,Articuno,Ice,Flying,/pokedex/articuno,Freeze Pokémon,1.7,55.4,Pressure,3,290,Slow,Genderless,90,85,100,95,125,85,580,
#0145,Zapdos,Electric,Flying,/pokedex/zapdos,Electric Pokémon,1.6,52.6,Pressure,3,290,Slow,Genderless,90,90,85,125,90,100,580,
#0146,Moltres,Fire,Flying,/pokedex/moltres,Flame Pokémon,2,60,Pressure,3,290,Slow,Genderless,90,100,90,125,85,90,580,
#0147,Dratini,Dragon,Nan,/pokedex/dratini,Dragon Pokémon,1.8,3.3,Shed Skin,45,60,Slow,50% male, 50% female,41,64,45,50,50,50,300
#0148,Dragonair,Dragon,Nan,/pokedex/dragonair,Dragon Pokémon,4,16.5,Shed Skin,45,147,Slow,50% male, 50% female,61,84,65,70,70,70,420
#0149,Dragonite,Dragon,Flying,/pokedex/dragonite,Dragon Pokémon,2.2,210,Inner Focus,45,300,Slow,50% male, 50% female,91,134,95,100,100,80,600
#0150,Mewtwo,Psychic,Nan,/pokedex/mewtwo,Genetic Pokémon,2,122,Pressure,3,340,Slow,Genderless,106,110,90,154,90,130,680,
#0151,Mew,Psychic,Nan,/pokedex/mew,New Species Pokémon,0.4,4,Synchronize,45,300,Medium Slow,Genderless,100,100,100,100,100,100,600,
#0152,Chikorita,Grass,Nan,/pokedex/chikorita,Leaf Pokémon,0.9,6.4,Overgrow,45,64,Medium Slow,87.5% male, 12.5% female,45,49,65,49,65,45,318
#0153,Bayleef,Grass,Nan,/pokedex/bayleef,Leaf Pokémon,1.2,15.8,Overgrow,45,142,Medium Slow,87.5% male, 12.5% female,60,62,80,63,80,60,405
#0154,Meganium,Grass,Nan,/pokedex/meganium,Herb Pokémon,1.8,100.5,Overgrow,45,236,Medium Slow,87.5% male, 12.5% female,80,82,100,83,100,80,525
#0155,Cyndaquil,Fire,Nan,/pokedex/cyndaquil,Fire Mouse Pokémon,0.5,7.9,Blaze,45,62,Medium Slow,87.5% male, 12.5% female,39,52,43,60,50,65,309
#0156,Quilava,Fire,Nan,/pokedex/quilava,Volcano Pokémon,0.9,19,Blaze,45,142,Medium Slow,87.5% male, 12.5% female,58,64,58,80,65,80,405
#0157,Typhlosion,Fire,Nan,/pokedex/typhlosion,Volcano Pokémon,1.7,79.5,Blaze,45,267,Medium Slow,87.5% male, 12.5% female,78,84,78,109,85,100,534
#0158,Totodile,Water,Nan,/pokedex/totodile,Big Jaw Pokémon,0.6,9.5,Torrent,45,63,Medium Slow,87.5% male, 12.5% female,50,65,64,44,48,43,314
#0159,Croconaw,Water,Nan,/pokedex/croconaw,Big Jaw Pokémon,1.1,25,Torrent,45,142,Medium Slow,87.5% male, 12.5% female,65,80,80,59,63,58,405
#0160,Feraligatr,Water,Nan,/pokedex/feraligatr,Big Jaw Pokémon,2.3,88.8,Torrent,45,239,Medium Slow,87.5% male, 12.5% female,85,105,100,79,83,78,530
